family,task,label,score_mode,metric,cell,cell_label,stratum,n,mean,median,p05,p95,q25,q75,iqr,min,max,status,error_bound,raw_sign,direction,positive_query_count,negative_query_count,unresolved_query_count,positive_query_fraction,negative_query_fraction,unresolved_query_fraction,ci95_low,ci95_high
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,gold_size_0,252,-0.8027104876628239,-0.9054960391892446,-4.636827418898125,3.089979254218508,-2.232732222155326,0.7473520881057858,2.9800843102611116,-8.737022408879078,7.382637450664404,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,gold_size_1,328,-0.1686977724654928,0.08495889272924462,-5.079936364522147,3.5138846154180006,-1.642550499187518,1.575738164473891,3.2182886636614088,-10.466306106280499,7.757228513481904,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,gold_size_2plus,63,0.4594054824029084,0.5261977331574954,-3.5864851671551605,4.242340493697335,-0.6719394129250933,2.175086861866626,2.847026274791719,-5.666033078135413,5.062943474779548,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,gold_size_2_appendix,56,0.5311512838986022,0.5854091018864156,-3.5722059326321087,4.441978468979519,-0.6182825778143117,2.1608004539026275,2.7790830317169393,-5.666033078135413,5.062943474779548,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLnew_minus_CLq,CLnew minus CLq,gold_size_3_appendix,7,-0.1145609295626426,0.16803860428299267,-3.582274995377837,2.929944570651361,-1.8934379819567257,1.9643737132411805,3.8578116951979062,-4.158734917369346,3.0468983435789454,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLDnew_minus_CLqD,CLDnew minus CLqD,all,643,0.6176394164133006,0.4680743429408669,-1.7740543635926171,3.473435188606985,-0.3819693545735765,1.5376042740666014,1.9195736286401779,-4.917506703939784,7.902308852810028,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLDnew_minus_CLqD,CLDnew minus CLqD,Lq_hit,223,0.8730616465635123,0.7427090386766739,-1.744993299042144,3.882840050690409,-0.07116723374851475,1.7555987451683164,1.8267659789168311,-4.86454504217767,7.79671445293881,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLDnew_minus_CLqD,CLDnew minus CLqD,Lq_no_hit,420,0.4820223751668787,0.2972424224426585,-1.7825875002264175,3.3083758235167564,-0.4724449150665895,1.357251213644827,1.8296961287114164,-4.917506703939784,7.902308852810028,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLDnew_minus_CLqD,CLDnew minus CLqD,gold_size_0,252,0.543327791935489,0.4490278226968303,-1.9446906895300327,3.253925970986751,-0.4495098472972163,1.4988707335288294,1.9483805808260457,-3.7001907516089267,7.902308852810028,defined,,,,,,,,,,,
contrast,group,,mean_with_eos,mean_with_eos/within_k/natural/others/1,CLDnew_minus_CLqD,CLDnew minus CLqD,gold_size_1,328,0.6701455383959108,0.5098577358700411,-1.7443232907712551,3.67132422304716,-0.3310520997966979,1.6000821627598238,1.9311342625565218,-4.917506703939784,5.9764841095040255,defined,,,,,,,,,,,
